Id,Job,Education,Age,Experience,Skills,Softkills,Ideal_Salary,City,Nationality,SmartWork,Experience_abroad,Language
30,Legal consultant,Master D.,23,13,"Tax legislation, Criminal Law","Customer orientation, Management of stress",32507,Fanano,Argentino,False,False,"Argentino, Italiano, Tedesco"
31,Architectural engineer,Degree,23,18,"Simulink, Structural analysis, Solidworks, Design, MATLAB","Communication, Creativity, Decision-making capacity, Leadership",40000,Pescara,Italiano,True,False,"Italiano, Finlandese"
32,Operation manager,Master D.,57,15,"Optimization of processes, Lean management ","Management of time, Troubleshooting",110000,Borgo San Giacomo,Tunisino,True,False,"Tunisino, Cubano, Italiano"
33,Designer,Degree,29,10,"Sketch, Prototyping","Critical thinking, Creativity",36008,Cellino Attanasio,Pakistano,True,False,"Pakistano, Argentino, Italiano"
34,Computer security analyst,Bachelor D.,63,8,"GnuPG, Cyber Security, Security of the networks","Collaboration, Innovation",80011,Marano di Napoli,Canadese,True,True,Canadese
35,Architectural engineer,Bachelor D.,37,8,"AutoCAD, ANSYS, Design, Simulink","Collaboration, Leadership, Troubleshooting, Management of time, Attention to detail",40015,Miggiano,Italiano,True,False,Italiano
36,Data Scientist,Bachelor D.,69,9,"R, Python, PyTorch, SQL","Analytical thinking, effective communication",33005,Montecastello,Italiano,True,False,Italiano
37,System administrator,Null,21,18,"Cloud management, Linux, Unix, Cyber Security","Troubleshooting, Patience, Management of emergencies",37489,Atina,Italiano,False,False,"Italiano, Inglese"
38,Legal consultant,Bachelor D.,36,12,"Tax legislation, Procedural right","Negotiation, Integrity, Management of stress",32513,Valdengo,Argentino,False,True,Argentino
39,Data Scientist,Bachelor D.,63,8,"PyTorch, Scikit-learn","Innovation, Solving the problems, Analytical thinking, Teamwork, effective communication",32999,Basciano,Italiano,True,False,"Italiano, Tedesco, Cubano"
40,Architect,Bachelor D.,25,16,"Rhinoceros 3D, AutoCAD, Revit","Collaboration, Spatial thought, Attention to detail",42501,Potenza,Turco,True,True,Turco
41,Operation manager,Researcher,38,21,"Logistics, Six Sigma, Quality Control, Microsoft Excel, Management of operations","Troubleshooting, Management of time, Management of stress, Strategic planning",110013,Vanzago,Italiano,True,False,"Italiano, Lituano, Egiziano"
42,Architect,Degree,44,7,"Rhinoceros 3D, EnergyPlus","Spatial thought, Creativity, Collaboration, Effective communication",42496,Sesto Calende,Pakistano,True,True,"Pakistano, Lituano, Canadese"
43,Nurse specialist,Degree,69,11,"Oncology, Monitoring of patients, Administration of drugs, Intensive Care Unit","Management of emergencies, Empathy, Organisation",42497,Nicorvo,Tedesco,False,False,"Tedesco, Italiano, Italiano"
44,Nurse specialist,Bachelor D.,45,12,"Specialized nursing assistance, Oncology","Management of emergencies, Organisation, Empathy",42494,Galliavola,Italiano,False,False,"Italiano, Francese"
45,Nurse,Bachelor D.,51,5,"Administration of drugs, Health care, Pharmacology, Patient Management","Empathy, Professional ethics, Flexibility",29997,Mezzanino,Italiano,False,False,Italiano
46,Asset manager,Researcher,29,18,"Economics, Investments","Customer orientation, Attention to detail",45011,Sant'Andrea Frius,Italiano,False,True,"Italiano, Inglese"
47,Nurse specialist,Bachelor D.,34,2,"Monitoring of patients, Oncology, Intensive Care Unit, Specialized nursing assistance","Empathy, Management of emergencies, Organisation",42491,Cassago Brianza,Norvegese,False,False,"Norvegese, Danese"
48,Lawyer,Bachelor D.,36,29,"Criminal Law, Negotiation, Legal system","Critical thinking, Argumentation, Persuasive communication, Communication skills, Analytical skills",34983,Chianciano Terme,Italiano,False,True,Italiano
49,Architectural engineer,Degree,43,2,"Solidworks, Structural analysis, Simulink","Troubleshooting, Collaboration",40007,Caldes,Tedesco,True,False,Tedesco
50,Web Developer,Degree,24,4,"CSS, Internet protocols, SQL, PHP","Ability to manage stress, Flexibility, Effective communication, Teamwork, Problem solving",44999,Chianocco,Egiziano,True,True,Egiziano
51,Architect,Bachelor D.,22,23,"Architectural design, AutoCAD","Attention to detail, Creativity, Spatial thought",42508,Bedizzole,Irlandese,True,False,Irlandese
52,Therapist,Researcher,25,28,"Counseling, Ethics","Ethics, Problem solving, Empathy, Active listening, Relational Skills",23499,Sant'Angelo Lodigiano,Danese,False,True,Danese
53,Nurse,Degree,39,2,"Pharmacology, Anatomy, Patient Management, Administration of drugs, Health care","Flexibility, Organisation, Professional ethics, Management of stress",29998,Azzano Mella,Brasiliano,False,True,Brasiliano
54,Designer,Master D.,52,5,"Adobe After Effect, Sketch, Blender, Adobe Photoshop, Prototyping","Empathy, Innovation",35998,Francavilla al Mare,Colombiano,True,False,"Colombiano, Cubano"
55,Data analyst,Master D.,34,16,"Tableau, Python, Database","Proactivity, Problem solving, Clear communication",35005,Bene Vagienna,Brasiliano,True,False,Brasiliano
56,System administrator,Degree,46,19,"Linux, Windows Server, Unix, Network","Management of emergencies, Troubleshooting, Patience",37499,Fiumicino,Italiano,False,True,"Italiano, Venezuelano, Tedesco"
57,Asset manager,Bachelor D.,20,25,"Economics, Financial planning","Customer orientation, Negotiation, Attention to detail",45023,Basciano,Italiano,False,False,Italiano
58,Manager,Master D.,42,12,"Market expertise, Team Management, Negotiation","Leadership, Adaptability, Effective communication",79993,Zelbio,Cinese,False,True,"Cinese, Inglese, Italiano"
59,Developer,Researcher,68,12,"Git, Operating systems, SQL, Algorithm","Innovation, Retail aptitude, Creativity",43000,Sarsina,Italiano,True,True,"Italiano, Argentino, Norvegese"
60,Developer,PhD,49,15,"PHP, C++, Python, SQL, Algorithm","Problem solving, Retail aptitude",42986,Signa,Finlandese,True,True,Finlandese
61,Therapist,Master D.,32,5,"Counseling, Confidentiality, Cognitive behavioral therapy, Psychological evaluation","Empathy, Active listening, Problem solving, Relational Skills",23502,Montelanico,Italiano,False,True,"Italiano, Inglese, Pakistano"
62,Legal consultant,Bachelor D.,45,16,"Tax legislation, Negotiation, Procedural right, Civil Law, Intellectual property","Negotiation, Management of stress, Customer orientation",32503,Nusco,Brasiliano,False,False,"Brasiliano, Israeliano"
63,Nurse specialist,Bachelor D.,56,8,"Intensive Care Unit, Oncology, Monitoring of patients, Administration of drugs, Specialized nursing assistance","Organisation, Management of emergencies, Empathy",42511,Chianocco,Italiano,False,False,Italiano
64,X-ray technician,Master D.,20,4,"Preparation of patients, X-ray and scan reading, Radiological safety","Organizational skills, Ethics, Speed of learning, Empathy, Confidentiality",23509,Alonte,Inglese,False,False,"Inglese, Italiano"
65,Marketing manager,PhD,29,14,"Planning of campaigns, Strategies of marketing, Management of the brand","Leadership, Critical thinking, Management of the team, Creativity",72521,Maser,Inglese,True,False,"Inglese, Cinese"
66,Marketing manager,Master D.,65,18,"Hootsuite, Planning of campaigns, Google Analytics","Management of the team, Critical thinking, Creativity",72514,Lascari,Brasiliano,True,False,"Brasiliano, Inglese"
67,Marketing manager,Bachelor D.,53,8,"CMS, Market research","Creativity, Leadership, Critical thinking, Management of the team",72498,Mezzana Bigli,Inglese,True,False,Inglese
68,HR Consultant,Degree,67,15,"Organisational development, Recruitment, Analysis of data, Selection and evaluation techniques","Empathy, Ability to listen",34988,Chiaravalle Centrale,Inglese,True,True,"Inglese, Israeliano, Italiano"
69,System administrator,Degree,46,6,"Unix, Cyber Security, Network, Windows Server","Troubleshooting, Patience, Management of emergencies",37516,Montesano Salentino,Tunisino,False,False,Tunisino
70,Legal consultant,Master D.,69,5,"Contracts, Right to Work, Criminal Law, Procedural right","Capacity for research, Integrity, Ethics, Negotiation, Management of stress",32485,Rivalba,Inglese,False,True,"Inglese, Italiano, Egiziano"
71,Financial consultant,Bachelor D.,50,19,"Commercial Law, Personal financial planning","Precision, Attention to detail, Empathy, Persuasive communication, Customer orientation",39985,Dorio,Statunitense,False,True,"Statunitense, Italiano"
72,Surgeon,PhD,67,12,"General Surgery, Surgical physiology, Specialized surgical procedures, Surgical Anatomy, Operating block management","Teamwork, Precision, Decision making, Management of stress, Ethics",80006,Vitulano,Tunisino,False,False,Tunisino
73,Manager,Bachelor D.,21,4,"Negotiation, Market expertise, Strategic planning","Adaptability, Effective communication, Empathy, Analytical thinking, Leadership",80019,Civitanova del Sannio,Inglese,False,False,Inglese
74,Computer security analyst,Degree,60,9,"SELinux, Incident Management, Keepass","Innovation, Troubleshooting",79986,Carre',Italiano,True,True,"Italiano, Danese"
75,System administrator,Bachelor D.,30,2,"Network, Cyber Security, Unix","Troubleshooting, Management of emergencies, Patience",37489,Cernusco sul Naviglio,Francese,False,True,"Francese, Danese, Egiziano"
76,Therapist,Master D.,43,15,"Ethics, Counseling","Empathy, Ethics, Problem solving, Active listening",23490,Costigliole d'Asti,Italiano,False,True,"Italiano, Inglese, Lituano"
77,Manager,Bachelor D.,27,4,"Strategic planning, Team Management, Negotiation, Market expertise","Empathy, Adaptability",79999,Pietrabruna,Tedesco,False,False,"Tedesco, Italiano, Italiano"
78,Nurse specialist,Degree,54,12,"Oncology, Monitoring of patients, Specialized nursing assistance, Intensive Care Unit","Management of emergencies, Empathy",42481,Picerno,Cinese,False,True,Cinese
79,Risk expert,Master D.,59,5,"Management of losses, Data analysis, Financial risk, Management of the crisis, Environmental risk","Analytical thinking, Decision making, Management of stress",35506,Rodengo Saiano,Venezuelano,False,False,Venezuelano
80,Pharmacist,PhD,21,13,"Dispensing of drugs, Preparation of drugs, Control of prescriptions","Attention to the customer, Precision, Empathy, Organizational skills, Knowledge of regulations",23510,San Nicola Arcella,Italiano,False,True,Italiano
81,Pharmacist,Bachelor D.,50,8,"Pharmacology, Information on drugs, Control of prescriptions","Empathy, Knowledge of regulations, Communication, Precision",23495,Casale Monferrato,Italiano,False,True,"Italiano, Francese, Messicano"
82,Data Scientist,Bachelor D.,22,3,"SQL, Machine Learning, PyTorch, Statistical, Python","Solving the problems, Innovation",33005,Pastena,Cubano,True,True,"Cubano, Italiano"
83,Nurse,Degree,55,11,"Health care, Medical emergencies, Patient Management, Pharmacology, Anatomy","Management of stress, Communication, Empathy",29988,Mosso,Venezuelano,False,False,"Venezuelano, Francese, Messicano"
84,Risk expert,Master D.,32,8,"Environmental risk, Assessment of risk, Analysis of financial security policies","Management of stress, Analytical thinking",35494,Valsinni,Lituano,False,True,Lituano
85,Nurse specialist,PhD,43,9,"Oncology, Intensive Care Unit, Specialized nursing assistance, Monitoring of patients","Organisation, Empathy, Management of emergencies",42494,Alonte,Italiano,False,False,"Italiano, Israeliano"
86,Marketing manager,Master D.,50,12,"CMS, Hootsuite","Management of the team, Adaptability",72505,Lupara,Italiano,True,False,Italiano
87,Architect,PhD,61,5,"BIM, Coordination of the project, Rhinoceros 3D, Architectural design","Collaboration, Spatial thought",42503,Trevenzuolo,Inglese,True,False,Inglese
88,Data analyst,Degree,48,9,"Microsoft Excel, Python, MATLAB, Tableau, SQL","Creativity, Critical analysis, Proactivity",35010,Castiglione del Lago,Inglese,True,False,"Inglese, Cubano, Russo"
89,Risk expert,Bachelor D.,54,7,"Management of the crisis, Financial risk","Management of stress, Decision making, Analytical thinking",35496,Rocca Grimalda,Danese,False,False,Danese
90,Teacher,Degree,67,26,"History, Mathematics, Italian, Computer science","Communication, Patience, Empathy",18987,Merone,Tedesco,False,True,"Tedesco, Portoghese"
91,Doctor,Bachelor D.,48,13,"Pharmacology, Therapy, Pathology, Diagnosis, Interpretation of the results","Attention to the patient, Empathic communication, Teamwork, Patience",52495,Trescore Balneario,Argentino,False,True,Argentino
92,Market analyst,Bachelor D.,29,6,"Analysis of data, Analysis of trends, Forecast, Analysis of competitors, Market research","Problem solving, Effective presentation, Critical thinking, Teamwork",38994,Miglionico,Italiano,True,True,"Italiano, Pakistano, Tunisino"
93,Nurse,Bachelor D.,40,13,"Administration of drugs, Medical emergencies","Communication, Flexibility, Professional ethics",30014,Celle di Macra,Turco,False,False,Turco
94,Developer,Null,55,7,"Java, C++, Git, PHP, Python","Problem solving, Professional Ethic, Creativity, Innovation, Collaboration",42997,Roncola,Colombiano,True,True,Colombiano
95,Operation manager,Degree,24,20,"Quality Control, Lean management , Six Sigma","Management of stress, Management of time, Strategic planning, Troubleshooting",110008,Terzorio,Italiano,True,True,"Italiano, Portoghese"
96,Teacher,Researcher,27,21,"Music, Physics","Patience, Communication, Empathy",19004,Gonars,Canadese,False,True,"Canadese, Italiano, Cubano"
97,Developer,Degree,63,14,"Operating systems, Python, C, SQL","Creativity, Retail aptitude",43001,Graglia,Italiano,True,True,Italiano
98,Web Developer,Bachelor D.,65,3,"Angular, HTML, SQL, PHP, Ruby","Innovation, Ability to manage stress, Teamwork, Problem solving",44998,Mazzarrone,Statunitense,True,True,Statunitense
99,Operation manager,Master D.,20,25,"Microsoft Excel, Quality Control, Management of operations, Lean management , Logistics","Strategic planning, Management of stress",110006,Casarsa della Delizia,Italiano,True,True,"Italiano, Tedesco"
100,Asset manager,Master D.,56,20,"Financial planning, Economics, Management of the portfolio, Investments, Investments","Strategic Thinking, Attention to detail",45019,Tarantasca,Italiano,False,False,"Italiano, Danese, Tedesco"
101,Data Scientist,Bachelor D.,68,6,"Python, Statistical, TensorFlow, Keras, Scikit-learn","Solving the problems, Attention to detail",33002,Roncola,Inglese,True,True,"Inglese, Argentino"
102,Doctor,Bachelor D.,32,27,"Diagnosis, Prevention, Pathology","Teamwork, Patience, Empathic communication, Ethics, Attention to the patient",52507,San Leucio del Sannio,Italiano,False,False,Italiano
103,Financial analyst,Degree,55,4,"Financial markets, Economic Law, Assessment of investments","Problem solving, Management of stress, Critical analysis, Attention to detail, Effective communication",33505,Oliena,Messicano,True,True,Messicano
104,Teacher,Bachelor D.,30,1,"French, Physics, Italian, History, Art","Communication, Empathy, Patience",18981,Marano di Napoli,Pakistano,False,False,Pakistano
105,Asset manager,Bachelor D.,27,16,"Management of the portfolio, Financial analysis","Strategic Thinking, Negotiation",44997,Serra d'Aiello,Italiano,False,False,Italiano
106,Computer security analyst,Bachelor D.,27,9,"Security of the networks, Cryptography, GnuPG","Critical thinking, Adaptability, Innovation, Troubleshooting, Collaboration",80007,Liscate,Italiano,True,True,Italiano
107,Nurse specialist,PhD,23,19,"Administration of drugs, Specialized nursing assistance","Empathy, Organisation, Management of emergencies",42502,Brugnato,Italiano,False,True,Italiano
108,Asset manager,Degree,58,17,"Economics, Financial planning","Strategic Thinking, Attention to detail",45007,Nova Levante,Inglese,False,False,"Inglese, Portoghese, Italiano"
109,X-ray technician,Master D.,42,12,"X-ray and scan reading, Preparation of patients","Ethics, Organizational skills",23487,Ferla,Italiano,False,True,"Italiano, Francese"
110,Legal consultant,Bachelor D.,29,3,"Intellectual property, Civil Law, Procedural right","Integrity, Customer orientation",32514,Albaredo per San Marco,Cubano,False,False,Cubano
111,Doctor,Bachelor D.,46,21,"Anatomy, Pharmacology, Diagnosis, Therapy, Pathology","Teamwork, Attention to the patient, Ethics, Empathic communication",52480,Bedizzole,Italiano,False,True,"Italiano, Danese"
112,Nurse specialist,Master D.,54,7,"Specialized nursing assistance, Intensive Care Unit, Monitoring of patients, Administration of drugs, Oncology","Organisation, Management of emergencies, Empathy",42503,Nusco,Italiano,False,False,Italiano
113,Operation manager,Degree,52,13,"Six Sigma, Lean management , Optimization of processes, Quality Control","Troubleshooting, Strategic planning, Management of time, Management of stress",109986,Gonars,Italiano,True,True,"Italiano, Portoghese"
114,Data analyst,Degree,69,8,"SQL, Root, Data Mining, Tableau, Statistics","Proactivity, Creativity, Problem solving, Critical analysis",34991,Ravenna,Tedesco,True,True,"Tedesco, Inglese"
115,Data analyst,Master D.,23,6,"Statistics, Tableau, SAS, Python, Database","Proactivity, Critical analysis, Clear communication, Problem solving",35011,Pederobba,Inglese,True,True,Inglese
116,Teacher,Degree,56,16,"Physical education, Music","Communication, Empathy, Patience",18997,Nespolo,Inglese,False,True,Inglese
117,Teacher,Bachelor D.,69,18,"Sciences, Italian, Art","Empathy, Communication",19002,Vanzago,Italiano,False,True,Italiano
118,Financial consultant,Master D.,37,5,"Insurance, Actions","Persuasive communication, Empathy",40002,Casalattico,Inglese,False,False,"Inglese, Portoghese"
119,Lawyer,Bachelor D.,57,22,"Legal Research, Negotiation, Civil Law","Communication skills, Analytical skills, Critical thinking, Persuasive communication",34986,San Chirico Nuovo,Messicano,False,True,"Messicano, Italiano"
120,Pharmacist,Bachelor D.,43,19,"Management of the cash, Preparation of drugs, Information on drugs, Pharmacology","Organizational skills, Empathy, Attention to the customer, Precision",23497,Caltignaga,Italiano,False,False,"Italiano, Cubano, Russo"
121,Legal consultant,Bachelor D.,25,6,"Criminal Law, Negotiation, Contracts, Intellectual property","Negotiation, Customer orientation, Ethics, Integrity, Management of stress",32496,Valfenera,Pakistano,False,True,"Pakistano, Italiano, Irlandese"
122,Designer,Bachelor D.,56,6,"Adobe After Effect, UI/UX Design, Adobe Photoshop, Sketch, Blender","Creativity, Critical thinking, Adaptability, Innovation",35990,Santo Stefano Roero,Lituano,True,True,Lituano
123,Designer,Researcher,43,10,"Adobe Photoshop, Figma, CorelDRAW, UI/UX Design, Adobe After Effect","Empathy, Critical thinking",36008,Monte Rinaldo,Italiano,True,True,"Italiano, Inglese, Cinese"
124,Doctor,Master D.,36,28,"Pathology, Therapy, Diagnosis","Attention to the patient, Ethics",52497,Pallanzeno,Italiano,False,False,"Italiano, Francese, Cinese"
125,Pharmacist,Bachelor D.,49,9,"Pharmacology, Control of prescriptions, Preparation of drugs","Organizational skills, Communication, Empathy",23499,San Massimo,Inglese,False,True,"Inglese, Messicano, Colombiano"
126,Nurse,Master D.,30,10,"Anatomy, Medical emergencies, Pharmacology","Empathy, Management of stress, Organisation, Professional ethics, Flexibility",29999,San Damiano Macra,Francese,False,False,Francese
127,Web Developer,Bachelor D.,46,9,"Python, MySQL, SQL, SQL, Internet protocols","Effective communication, Innovation, Problem solving, Ability to manage stress, Teamwork",44988,Martinsicuro,Italiano,True,True,Italiano
128,Nurse,Bachelor D.,35,14,"Pharmacology, Health care, Anatomy","Empathy, Communication, Flexibility, Organisation, Management of stress",30013,Castellabate,Italiano,False,False,Italiano
129,Doctor,Bachelor D.,63,28,"Anatomy, Management of patients","Patience, Empathic communication, Teamwork, Ethics",52498,Gorla Maggiore,Portoghese,False,True,Portoghese
130,Designer,Degree,53,6,"Blender, CorelDRAW, Adobe Photoshop, Adobe Illustrator, Prototyping","Empathy, Adaptability, Critical thinking, Creativity",36018,Trescore Balneario,Italiano,True,False,Italiano
131,Data Scientist,Degree,48,13,"Python, Machine Learning, Keras","Teamwork, effective communication, Attention to detail, Innovation",32996,Moscazzano,Italiano,True,True,"Italiano, Inglese, Inglese"
132,Therapist,PhD,61,24,"Ethics, Confidentiality, Theories of Behavior","Confidentiality, Problem solving",23481,San Pietro in Cariano,Italiano,False,True,Italiano
133,Pharmacist,Degree,57,14,"Management of the cash, Preparation of drugs, Information on drugs","Empathy, Knowledge of regulations",23496,Priverno,Italiano,False,False,"Italiano, Inglese"
134,Web Developer,PhD,25,3,"Internet protocols, SQL","Teamwork, Effective communication, Innovation, Problem solving, Flexibility",45016,Gambugliano,Tedesco,True,False,"Tedesco, Italiano"
135,System administrator,Bachelor D.,44,11,"Windows Server, Unix","Management of emergencies, Patience, Troubleshooting",37498,Santo Stefano di Camastra,Tedesco,False,False,Tedesco
136,Teacher,Degree,31,8,"Physics, French, Music","Communication, Patience, Empathy",19002,Annone Veneto,Italiano,False,True,"Italiano, Cubano, Israeliano"
137,Nurse specialist,Degree,44,11,"Monitoring of patients, Specialized nursing assistance","Empathy, Management of emergencies, Organisation",42482,Suardi,Italiano,False,False,"Italiano, Tedesco"
138,Risk expert,Degree,29,10,"Management of the crisis, Environmental risk","Analytical thinking, Decision making",35524,Novedrate,Italiano,False,True,"Italiano, Francese, Egiziano"
139,Data Scientist,Bachelor D.,34,9,"Machine Learning, TensorFlow, Statistical","Analytical thinking, effective communication, Attention to detail, Solving the problems, Innovation",33002,Robilante,Italiano,True,False,"Italiano, Francese"
140,Data analyst,PhD,22,16,"Statistics, SQL, Tableau","Proactivity, Clear communication, Creativity, Critical analysis",34995,Curti,Italiano,True,True,"Italiano, Turco, Colombiano"
141,Data analyst,Bachelor D.,36,8,"R, SAS","Critical analysis, Clear communication",35000,Brienno,Tedesco,True,True,"Tedesco, Turco"
142,Computer security analyst,Researcher,57,12,"SELinux, Incident Management, GnuPG","Critical thinking, Collaboration",79993,Trevi,Norvegese,True,False,"Norvegese, Pakistano"
143,Architect,Master D.,51,12,"Vectorworks, Architectural design, Asana, Revit","Collaboration, Attention to detail, Effective communication, Spatial thought",42502,Lograto,Argentino,True,False,"Argentino, Italiano"
144,Lawyer,Bachelor D.,34,30,"Legal system, Legal Research, Negotiation, Criminal Law, Procedural right","Analytical skills, Argumentation, Communication skills, Persuasive communication, Critical thinking",35015,Tufo,Tedesco,False,False,"Tedesco, Lituano"
145,Architect,Bachelor D.,27,28,"Revit, Coordination of the project, Rhinoceros 3D, Vectorworks, EnergyPlus","Attention to detail, Effective communication, Creativity",42502,Casarsa della Delizia,Italiano,True,False,Italiano
146,System administrator,PhD,31,19,"HTTP, Unix","Troubleshooting, Patience",37512,Telti,Inglese,False,True,Inglese
147,Architect,Bachelor D.,38,19,"Architectural design, Vectorworks, AutoCAD, Asana","Spatial thought, Effective communication",42510,Carzano,Francese,True,False,Francese
148,Operation manager,Degree,33,17,"ERP, Logistics, Quality Control, Microsoft Excel","Management of stress, Strategic planning, Management of time",110005,Pachino,Portoghese,True,False,Portoghese
149,Financial analyst,Bachelor D.,40,12,"Risk Management, Assessment of investments, Economics","Management of stress, Effective communication, Critical analysis, Attention to detail",33494,Paruzzaro,Francese,True,True,Francese
150,Architectural engineer,Degree,43,6,"AutoCAD, Structural analysis","Collaboration, Attention to detail",40001,Palestro,Italiano,True,True,"Italiano, Canadese, Norvegese"
151,Pharmacist,Degree,57,11,"Management of the cash, Control of prescriptions","Communication, Organizational skills, Precision",23487,Recetto,Italiano,False,True,Italiano
152,Data analyst,Researcher,57,13,"Data Mining, MATLAB, Python","Clear communication, Critical analysis, Proactivity, Problem solving, Creativity",35019,Schio,Irlandese,True,False,"Irlandese, Cubano"
