Id,Job,Education,Age,Experience,Skills,Softkills,Ideal_Salary,City,Nationality,SmartWork,Experience_abroad,Language
20,Web Developer,Master D.,54,13,"Angular, MySQL, Internet protocols, CSS","Effective communication, Ability to manage stress",45010,Boschi Sant'Anna,Italiano,True,False,Italiano
21,Legal consultant,Bachelor D.,39,13,"Tax legislation, Intellectual property, Civil Law, Right to Work","Integrity, Capacity for research, Ethics",32500,Osilo,Venezuelano,False,False,"Venezuelano, Messicano"
22,Risk expert,Master D.,26,10,"Management of losses, Assessment of risk, Management of the crisis, Environmental risk, Analysis of financial security policies","Management of stress, Decision making, Analytical thinking",35488,Molvena,Italiano,False,True,"Italiano, Tunisino"
23,Web Developer,Degree,41,11,"CSS, Ruby, Python, SQL, XAMPP","Problem solving, Flexibility, Teamwork, Ability to manage stress, Innovation",44988,Roaschia,Argentino,True,False,"Argentino, Tedesco"
24,Legal consultant,Degree,64,12,"Procedural right, Right to Work","Negotiation, Management of stress, Capacity for research, Integrity, Customer orientation",32501,Ortignano Raggiolo,Inglese,False,True,"Inglese, Italiano"
25,Nurse specialist,Degree,46,8,"Administration of drugs, Specialized nursing assistance, Oncology, Monitoring of patients, Intensive Care Unit","Management of emergencies, Empathy, Organisation",42499,Signa,Lituano,False,True,Lituano
26,Nurse,Degree,65,10,"Health care, Anatomy, Patient Management, Medical emergencies, Administration of drugs","Empathy, Communication, Management of stress, Organisation",30012,Parenti,Francese,False,True,Francese
27,Financial consultant,Bachelor D.,51,12,"Actions, Commercial Law, Financial markets","Persuasive communication, Empathy, Precision, Attention to detail",39987,Torre San Patrizio,Francese,False,True,"Francese, Italiano, Italiano"
28,Designer,Master D.,67,6,"Blender, Adobe Illustrator, Adobe After Effect, UI/UX Design, CorelDRAW","Critical thinking, Creativity, Adaptability, Empathy",35990,San Pietro Clarenza,Tedesco,True,True,Tedesco
29,Pharmacist,Master D.,33,4,"Control of prescriptions, Management of the cash, Preparation of drugs, Dispensing of drugs","Knowledge of regulations, Attention to the customer, Empathy",23494,Voltido,Italiano,False,False,"Italiano, Egiziano, Francese"
30,Financial consultant,Master D.,21,4,"Financial markets, Investments, Personal financial planning","Empathy, Attention to detail, Persuasive communication, Precision, Customer orientation",39985,Chialamberto,Italiano,False,False,"Italiano, Inglese"
31,Lawyer,Degree,25,0,"Legal Research, Procedural right, Negotiation, Legal system","Analytical skills, Persuasive communication, Critical thinking, Argumentation, Communication skills",34987,Carzano,Italiano,False,True,"Italiano, Argentino"
32,Operation manager,Bachelor D.,31,24,"ERP, Six Sigma, Optimization of processes, Lean management , Logistics","Troubleshooting, Management of time",110009,Montefusco,Inglese,True,True,"Inglese, Francese, Italiano"
33,Developer,PhD,65,4,"Operating systems, C, Git","Innovation, Problem solving, Professional Ethic, Retail aptitude",42986,Dorio,Inglese,True,False,Inglese
34,Pharmacist,Master D.,61,16,"Pharmacology, Preparation of drugs, Dispensing of drugs","Communication, Attention to the customer, Organizational skills, Precision, Knowledge of regulations",23491,Sperlonga,Italiano,False,True,"Italiano, Argentino"
35,Risk expert,Degree,50,14,"Data analysis, Management of the crisis, Analysis of financial security policies, Assessment of risk","Decision making, Management of stress, Analytical thinking",35479,Origgio,Francese,False,False,"Francese, Danese, Inglese"
36,Financial analyst,Bachelor D.,53,3,"Financial markets, Risk Management, Economic Law","Problem solving, Critical analysis",33516,Giffoni Sei Casali,Irlandese,True,True,"Irlandese, Tedesco, Italiano"
37,Lawyer,Bachelor D.,36,19,"Legal Research, Negotiation, Criminal Law","Communication skills, Argumentation, Persuasive communication, Analytical skills, Critical thinking",34997,Russi,Italiano,False,True,"Italiano, Lituano"
38,Architect,Bachelor D.,51,9,"AutoCAD, Architectural design","Attention to detail, Effective communication, Spatial thought, Creativity",42498,Sorisole,Italiano,True,False,"Italiano, Colombiano"
39,Asset manager,Degree,45,17,"Financial planning, Investments, Economics","Strategic Thinking, Negotiation, Customer orientation, Attention to detail",44990,Basciano,Norvegese,False,True,Norvegese
40,System administrator,Degree,20,16,"Windows Server, SMTP, Network, Linux","Troubleshooting, Management of emergencies, Patience",37506,Brugnato,Italiano,False,True,Italiano
41,Teacher,Master D.,59,20,"French, Italian, Office suite, Art, Computer science","Communication, Empathy",19006,Mordano,Turco,False,True,"Turco, Inglese"
42,Developer,Null,57,10,"Git, Algorithm, C++","Flexibility, Retail aptitude",43015,Schio,Brasiliano,True,True,"Brasiliano, Italiano"
43,Pharmacist,Bachelor D.,46,14,"Dispensing of drugs, Control of prescriptions, Pharmacology","Communication, Empathy",23483,San Vito,Inglese,False,False,"Inglese, Italiano"
44,Teacher,Degree,68,24,"Mathematics, Gym, Office suite, Geograpy","Communication, Patience, Empathy",19002,Arcidosso,Italiano,False,False,"Italiano, Irlandese"
45,Nurse specialist,Bachelor D.,53,8,"Oncology, Monitoring of patients, Intensive Care Unit, Administration of drugs","Empathy, Organisation, Management of emergencies",42498,Nova Levante,Italiano,False,False,Italiano
46,Operation manager,PhD,55,19,"Six Sigma, ERP, Management of operations","Management of time, Strategic planning, Management of stress, Troubleshooting",109999,Corleone,Inglese,True,False,"Inglese, Francese, Italiano"
47,X-ray technician,Researcher,28,15,"Radiological safety, Preparation of patients","Speed of learning, Precision, Organizational skills",23508,Savelli,Israeliano,False,True,"Israeliano, Portoghese"
48,Teacher,Bachelor D.,43,23,"Art, Mathematics, French, Physical education","Empathy, Patience, Communication",19020,Gerenzano,Cubano,False,True,"Cubano, Francese"
49,Architectural engineer,PhD,37,1,"AutoCAD, ANSYS, Simulink, Design","Decision-making capacity, Collaboration",39980,Muscoline,Italiano,True,False,"Italiano, Tedesco, Canadese"
50,Legal consultant,Master D.,59,10,"Procedural right, Contracts, Right to Work, Criminal Law, Intellectual property","Customer orientation, Capacity for research, Integrity, Ethics, Management of stress",32494,Trevi,Italiano,False,False,"Italiano, Francese"
51,Marketing manager,Degree,55,10,"CMS, Hootsuite, Market research","Critical thinking, Adaptability, Creativity, Management of the team, Ability to adapt to new technologies",72518,Parcines,Colombiano,True,True,"Colombiano, Tedesco"
52,Financial analyst,Bachelor D.,69,5,"Assessment of investments, Economic Law, Investment","Effective communication, Problem solving",33496,Irsina,Italiano,True,False,"Italiano, Argentino, Francese"
53,Architectural engineer,Bachelor D.,55,15,"Solidworks, Design, Structural analysis, MATLAB, AutoCAD","Creativity, Collaboration, Leadership",40010,Marano sul Panaro,Pakistano,True,True,"Pakistano, Russo"
54,Manager,Master D.,64,13,"Market expertise, Team Management","Leadership, Adaptability, Effective communication",79987,Sesto Calende,Argentino,False,True,"Argentino, Italiano, Inglese"
55,Data analyst,Master D.,39,2,"MATLAB, Statistics, Data Mining, Database","Proactivity, Critical analysis, Problem solving, Creativity, Clear communication",34996,Feroleto della Chiesa,Argentino,True,True,"Argentino, Egiziano, Italiano"
56,Pharmacist,Degree,65,15,"Control of prescriptions, Management of the cash, Preparation of drugs, Information on drugs, Dispensing of drugs","Communication, Precision, Attention to the customer, Knowledge of regulations",23502,Potenza,Francese,False,False,"Francese, Turco"
57,System administrator,Bachelor D.,22,14,"Linux, Unix, Windows Server, Cloud management","Patience, Troubleshooting, Management of emergencies",37495,Moiano,Italiano,False,True,"Italiano, Inglese"
58,Financial consultant,Bachelor D.,69,7,"Financial markets, Commercial Law","Precision, Empathy, Customer orientation",39998,Limone Piemonte,Russo,False,True,"Russo, Italiano"
59,Architectural engineer,Master D.,44,7,"MATLAB, AutoCAD, Solidworks, Design","Communication, Leadership",39999,Castrofilippo,Italiano,True,True,Italiano
60,HR Consultant,Bachelor D.,40,3,"Selection and evaluation techniques, Training and development, Analysis of data","Management of the conflict, Ability to listen, Coaching, Management of stress",35016,Mazzarrone,Italiano,True,False,"Italiano, Finlandese"
61,Architect,Degree,39,1,"AutoCAD, EnergyPlus, Coordination of the project, BIM","Attention to detail, Spatial thought, Effective communication, Creativity",42504,Sovizzo,Italiano,True,False,Italiano
62,Manager,Researcher,55,11,"Strategic planning, Market expertise, Negotiation, Team Management","Analytical thinking, Adaptability",80005,Mason Vicentino,Italiano,False,True,"Italiano, Inglese, Inglese"
63,Pharmacist,Researcher,30,18,"Management of the cash, Dispensing of drugs, Information on drugs, Pharmacology","Attention to the customer, Knowledge of regulations",23523,Sant'Agata del Bianco,Francese,False,True,"Francese, Italiano"
64,Designer,Degree,49,8,"Blender, Prototyping, Adobe Photoshop, CorelDRAW, Adobe After Effect","Critical thinking, Creativity",35981,Santo Stefano di Camastra,Tunisino,True,False,"Tunisino, Tedesco, Francese"
65,System administrator,Bachelor D.,29,4,"HTTP, Network, Windows Server, Linux, Cloud management","Troubleshooting, Management of emergencies, Patience",37511,Nova Levante,Italiano,False,False,Italiano
66,Therapist,PhD,70,5,"Ethics, Cognitive behavioral therapy","Empathy, Ethics, Problem solving, Confidentiality",23515,Roaschia,Inglese,False,True,"Inglese, Italiano, Italiano"
67,Designer,Bachelor D.,46,4,"Sketch, Figma, Adobe Photoshop, Prototyping","Innovation, Empathy, Creativity, Adaptability",36003,Fiumicello,Italiano,True,True,Italiano
68,Developer,Researcher,44,14,"C, Git, Database, Operating systems","Creativity, Collaboration, Flexibility",42993,Monteleone Sabino,Inglese,True,False,Inglese
69,Financial consultant,Bachelor D.,69,7,"Personal financial planning, Investments","Attention to detail, Precision, Persuasive communication, Customer orientation, Empathy",39992,Monserrato,Italiano,False,True,Italiano
70,Operation manager,Degree,69,19,"Logistics, Lean management , Quality Control, Microsoft Excel, ERP","Management of time, Strategic planning, Troubleshooting",109994,Villa di Tirano,Tedesco,True,True,Tedesco
71,Pharmacist,Researcher,28,16,"Information on drugs, Dispensing of drugs, Management of the cash, Pharmacology","Attention to the customer, Communication, Organizational skills",23485,Desulo,Turco,False,True,Turco
72,Legal consultant,Degree,63,13,"Criminal Law, Negotiation, Procedural right, Tax legislation","Capacity for research, Negotiation",32502,Brugnato,Brasiliano,False,True,"Brasiliano, Inglese"
73,Nurse specialist,Bachelor D.,34,17,"Oncology, Monitoring of patients, Administration of drugs, Intensive Care Unit, Specialized nursing assistance","Management of emergencies, Empathy, Organisation",42503,Cavasso Nuovo,Danese,False,False,"Danese, Tedesco"
74,Surgeon,Degree,62,19,"Operating block management, Surgical physiology","Patience, Decision making",79995,Grosio,Italiano,False,True,"Italiano, Inglese, Argentino"
75,Teacher,Bachelor D.,63,19,"Physical education, History, French, Art","Communication, Patience, Empathy",19006,Fluminimaggiore,Italiano,False,True,"Italiano, Turco"
76,Therapist,Degree,62,28,"Ethics, Counseling, Psychological evaluation","Relational Skills, Empathy",23503,Gambugliano,Colombiano,False,False,"Colombiano, Norvegese, Italiano"
77,Marketing manager,Degree,27,18,"Google Analytics, Hootsuite, Management of the brand, Planning of campaigns, Strategies of marketing","Adaptability, Leadership, Ability to adapt to new technologies",72497,Villafranca Padovana,Francese,True,False,Francese
78,Market analyst,Master D.,55,1,"Strategies of the market, Market research, Forecast, Analysis of trends","Adaptability, Problem solving",38993,Poggio Picenze,Italiano,True,False,"Italiano, Inglese, Cubano"
79,Marketing manager,Bachelor D.,45,5,"Strategies of marketing, Market research, Management of the brand","Leadership, Critical thinking",72492,Moncalvo,Russo,True,False,"Russo, Inglese, Danese"
80,Architectural engineer,Degree,39,15,"ANSYS, Solidworks","Creativity, Attention to detail, Leadership",40019,Pago Veiano,Inglese,True,False,"Inglese, Italiano"
81,Surgeon,Bachelor D.,67,25,"Surgical Anatomy, Surgical physiology, General Surgery, Medical imaging","Management of stress, Patience",79986,Rodengo Saiano,Italiano,False,True,"Italiano, Pakistano"
82,Pharmacist,Bachelor D.,24,3,"Information on drugs, Pharmacology, Control of prescriptions, Preparation of drugs, Management of the cash","Attention to the customer, Precision, Knowledge of regulations, Empathy, Communication",23489,Scandale,Irlandese,False,True,Irlandese
83,Manager,Bachelor D.,33,22,"Strategic planning, Team Management, Negotiation, Market expertise","Effective communication, Leadership",79990,Bedizzole,Italiano,False,True,"Italiano, Argentino"
84,Operation manager,Master D.,34,22,"Lean management , ERP, Microsoft Excel, Six Sigma, Quality Control","Strategic planning, Management of stress, Management of time",109993,Ariano nel Polesine,Danese,True,True,"Danese, Italiano"
85,Marketing manager,PhD,57,19,"Market research, Planning of campaigns, Strategies of marketing, Hootsuite, CMS","Creativity, Leadership, Critical thinking, Ability to adapt to new technologies, Adaptability",72502,Rodengo Saiano,Lituano,True,True,"Lituano, Pakistano"
86,Marketing manager,Bachelor D.,41,17,"Hootsuite, Planning of campaigns","Creativity, Leadership",72493,Pescara,Italiano,True,True,"Italiano, Francese"
87,Teacher,Researcher,56,16,"English, Office suite","Patience, Empathy, Communication",19012,Arnasco,Egiziano,False,True,"Egiziano, Portoghese, Inglese"
88,System administrator,Degree,54,11,"Windows Server, Cyber Security, Unix, Cloud management, SMTP","Patience, Management of emergencies",37493,Moso in Passiria,Tedesco,False,True,Tedesco
89,Teacher,Bachelor D.,60,28,"English, Mathematics, Office suite, Computer science, Physical education","Patience, Communication, Empathy",19012,Diano Marina,Colombiano,False,True,"Colombiano, Francese"
90,Nurse,Bachelor D.,49,8,"Pharmacology, Health care, Anatomy, Administration of drugs, Patient Management","Organisation, Empathy, Professional ethics, Management of stress",30014,Brienno,Colombiano,False,False,"Colombiano, Italiano"
91,Operation manager,Researcher,51,25,"Management of operations, Six Sigma, Quality Control","Troubleshooting, Strategic planning",109995,Rodello,Norvegese,True,True,"Norvegese, Italiano"
92,Therapist,Degree,32,29,"Theories of Behavior, Ethics, Counseling, Psychological evaluation, Cognitive behavioral therapy","Active listening, Ethics, Empathy, Confidentiality, Problem solving",23499,Roncola,Tunisino,False,True,Tunisino
93,Risk expert,Researcher,41,7,"Management of losses, Data analysis, Financial risk, Analysis of financial security policies, Environmental risk","Management of stress, Decision making, Analytical thinking",35494,San Nicola Arcella,Francese,False,True,"Francese, Irlandese, Inglese"
94,Legal consultant,Bachelor D.,30,5,"Contracts, Negotiation, Right to Work, Criminal Law","Negotiation, Customer orientation, Integrity",32495,Pre'-Saint-Didier,Francese,False,False,"Francese, Statunitense"
95,System administrator,Researcher,61,15,"Cyber Security, HTTP","Troubleshooting, Patience, Management of emergencies",37493,Paulilatino,Israeliano,False,True,"Israeliano, Tunisino"
96,Surgeon,Degree,48,22,"Specialized surgical procedures, Operating block management, Medical imaging, Surgical Anatomy, Surgical physiology","Teamwork, Decision making, Patience, Precision, Management of stress",80005,Auronzo di Cadore,Russo,False,False,Russo
97,Asset manager,PhD,21,6,"Investments, Investments","Strategic Thinking, Attention to detail, Customer orientation, Negotiation",44993,Montaldo Scarampi,Argentino,False,False,Argentino
98,Architectural engineer,PhD,69,6,"Simulink, AutoCAD, Design, Solidworks","Troubleshooting, Attention to detail",39999,Ravarino,Italiano,True,True,"Italiano, Tedesco, Inglese"
99,Nurse specialist,Researcher,25,4,"Oncology, Administration of drugs, Intensive Care Unit","Organisation, Management of emergencies",42495,Gonars,Portoghese,False,True,"Portoghese, Israeliano"
100,Nurse,Degree,67,1,"Anatomy, Administration of drugs, Patient Management, Medical emergencies, Pharmacology","Organisation, Flexibility, Professional ethics",30005,Celle di Macra,Pakistano,False,True,"Pakistano, Israeliano"
101,Financial consultant,Master D.,69,18,"Personal financial planning, Actions, Economics, Commercial Law","Customer orientation, Empathy, Persuasive communication, Attention to detail, Precision",39986,Mazzarrone,Messicano,False,False,"Messicano, Italiano"
102,Operation manager,Degree,52,24,"ERP, Logistics, Six Sigma","Management of stress, Troubleshooting, Management of time, Strategic planning",110004,Rodello,Portoghese,True,False,Portoghese
103,Financial analyst,PhD,24,14,"Economics, Risk Management","Critical analysis, Attention to detail, Management of stress",33510,Bedizzole,Italiano,True,True,Italiano
104,Financial consultant,Bachelor D.,69,2,"Actions, Economics","Persuasive communication, Empathy, Customer orientation, Precision, Attention to detail",40011,San Pietro Clarenza,Inglese,False,False,"Inglese, Italiano, Russo"
105,Operation manager,Degree,26,21,"Lean management , Quality Control, Six Sigma, Management of operations, Logistics","Management of time, Troubleshooting",110005,Sommariva Perno,Danese,True,False,"Danese, Italiano"
106,Lawyer,Degree,44,24,"Negotiation, Procedural right, Criminal Law, Legal Research, Civil Law","Argumentation, Persuasive communication",34995,Merone,Italiano,False,True,"Italiano, Brasiliano, Tunisino"
107,HR Consultant,Bachelor D.,47,15,"Organisational development, Analysis of data, Labour legislation","Management of stress, Ability to listen, Coaching",35000,Origgio,Italiano,True,True,"Italiano, Russo, Inglese"
108,Asset manager,Degree,51,9,"Management of the portfolio, Financial planning, Investments, Investments, Economics","Strategic Thinking, Attention to detail, Negotiation, Customer orientation",45004,Valdengo,Israeliano,False,True,"Israeliano, Italiano"
109,Web Developer,Degree,21,4,"Ruby, HTML, Python, SQL, Design patterns","Innovation, Flexibility, Ability to manage stress, Teamwork",44995,Zelbio,Italiano,True,True,"Italiano, Danese"
110,Teacher,Degree,55,28,"Music, Geograpy, Office suite","Patience, Empathy, Communication",19000,Camerano Casasco,Italiano,False,True,Italiano
111,Data Scientist,Master D.,21,9,"PyTorch, R, Machine Learning","Analytical thinking, effective communication",33004,Vimercate,Tedesco,True,True,Tedesco
112,Marketing manager,Degree,64,6,"Market research, CMS, Management of the brand","Leadership, Creativity",72499,Vaglia,Irlandese,True,False,Irlandese
113,Nurse,Degree,28,15,"Anatomy, Medical emergencies, Health care, Patient Management, Administration of drugs","Organisation, Empathy, Professional ethics, Flexibility, Management of stress",30006,Asolo,Statunitense,False,True,Statunitense
114,Manager,Degree,23,24,"Strategic planning, Team Management, Market expertise, Negotiation","Analytical thinking, Empathy, Effective communication, Leadership",79995,Fanano,Italiano,False,False,Italiano
115,Risk expert,Bachelor D.,45,7,"Management of the crisis, Environmental risk, Data analysis","Decision making, Management of stress",35504,Cesaro',Tedesco,False,True,"Tedesco, Portoghese"
116,Risk expert,Degree,36,6,"Data analysis, Environmental risk","Analytical thinking, Management of stress, Decision making",35507,Falzes,Italiano,False,False,"Italiano, Inglese"
117,HR Consultant,Bachelor D.,32,8,"HR Management, Industrial relations","Empathy, Negotiation, Management of the conflict",34994,Cavasso Nuovo,Argentino,True,False,Argentino
118,Nurse,Degree,34,11,"Patient Management, Pharmacology, Administration of drugs","Management of stress, Flexibility",29984,Sant'Eufemia d'Aspromonte,Italiano,False,True,"Italiano, Argentino, Danese"
119,Teacher,Researcher,38,21,"Sciences, Music, History, Mathematics","Patience, Communication",19016,Feroleto della Chiesa,Canadese,False,True,"Canadese, Inglese, Italiano"
120,Asset manager,PhD,35,12,"Management of the portfolio, Financial analysis","Attention to detail, Customer orientation, Strategic Thinking, Negotiation",44991,Borgomezzavalle,Francese,False,True,"Francese, Danese, Inglese"
121,Nurse specialist,Master D.,41,12,"Monitoring of patients, Intensive Care Unit","Organisation, Empathy, Management of emergencies",42500,Auronzo di Cadore,Inglese,False,False,"Inglese, Italiano"
122,Surgeon,Bachelor D.,39,26,"Specialized surgical procedures, Operating block management, General Surgery","Management of stress, Teamwork, Precision, Patience, Decision making",79989,Molino dei Torti,Italiano,False,False,Italiano
123,Surgeon,Bachelor D.,58,6,"Surgical Anatomy, Surgical physiology, Operating block management","Management of stress, Ethics, Precision, Patience",79985,Azzano San Paolo,Messicano,False,True,"Messicano, Canadese, Turco"
124,HR Consultant,Degree,30,6,"Labour legislation, Recruitment, Training and development","Management of the conflict, Negotiation, Management of stress, Coaching, Empathy",35017,Beverino,Italiano,True,True,Italiano
125,Legal consultant,Degree,45,10,"Negotiation, Tax legislation","Capacity for research, Negotiation, Customer orientation",32502,Sant'Andrea Frius,Italiano,False,True,"Italiano, Inglese, Danese"
126,Computer security analyst,Bachelor D.,41,15,"Incident Management, SELinux","Collaboration, Critical thinking, Innovation, Adaptability, Troubleshooting",79981,Santa Venerina,Pakistano,True,False,"Pakistano, Tunisino, Tedesco"
127,Nurse,Researcher,42,3,"Pharmacology, Administration of drugs, Health care","Flexibility, Professional ethics, Empathy, Communication",29999,Bajardo,Danese,False,False,"Danese, Cinese, Inglese"
128,X-ray technician,Degree,40,14,"Use of imaging equipment, X-ray and scan reading, Preparation of patients","Communication, Empathy, Speed of learning",23504,Landiona,Finlandese,False,False,Finlandese
129,Developer,PhD,20,6,"SQL, C++","Creativity, Collaboration, Innovation",43004,Montefusco,Inglese,True,True,"Inglese, Francese, Venezuelano"
130,Designer,Bachelor D.,24,7,"Blender, Figma","Creativity, Innovation, Adaptability, Empathy",36007,Ravarino,Inglese,True,True,"Inglese, Pakistano, Tedesco"
131,Data analyst,Bachelor D.,63,17,"Root, Database, SQL, Microsoft Excel, MATLAB","Clear communication, Critical analysis",34996,Asiago,Irlandese,True,True,"Irlandese, Danese"
132,Doctor,PhD,69,25,"Anatomy, Diagnosis, Prevention, Pathology","Attention to the patient, Empathic communication, Patience",52506,Ravenna,Tunisino,False,True,"Tunisino, Lituano"
133,Doctor,PhD,41,5,"Interpretation of the results, Diagnosis, Pathology, Pharmacology, Therapy","Empathic communication, Teamwork, Ethics, Patience",52496,Ortignano Raggiolo,Francese,False,False,"Francese, Italiano, Pakistano"
134,HR Consultant,Degree,45,14,"Recruitment, Organisational development, Labour legislation, Analysis of data, Selection and evaluation techniques","Management of stress, Ability to listen, Coaching, Empathy",35011,Predosa,Italiano,True,True,Italiano
135,Asset manager,PhD,21,10,"Investments, Investments","Attention to detail, Negotiation, Strategic Thinking, Customer orientation",44999,Moiano,Israeliano,False,False,Israeliano
136,Financial consultant,Master D.,34,19,"Investments, Economics, Financial markets","Empathy, Attention to detail, Precision, Customer orientation",40008,Torre San Patrizio,Italiano,False,False,"Italiano, Colombiano, Canadese"
137,Market analyst,Bachelor D.,49,5,"Models of business, Market research","Customer orientation, Problem solving, Effective presentation, Teamwork, Adaptability",39005,Tarantasca,Italiano,True,True,Italiano
138,Risk expert,Bachelor D.,34,15,"Management of the crisis, Assessment of risk, Analysis of financial security policies, Management of losses","Decision making, Analytical thinking, Management of stress",35499,Sperlonga,Egiziano,False,True,Egiziano
139,Market analyst,Bachelor D.,41,6,"Analysis of data, Models of business, Market research, Analysis of competitors, Forecast","Critical thinking, Problem solving",39009,Telti,Irlandese,True,False,"Irlandese, Italiano"
140,Designer,Researcher,52,3,"Sketch, Blender, Prototyping, Figma, Adobe After Effect","Creativity, Innovation, Critical thinking, Adaptability, Empathy",35998,Garlate,Lituano,True,True,"Lituano, Italiano, Italiano"
141,Nurse specialist,Degree,59,18,"Intensive Care Unit, Administration of drugs, Specialized nursing assistance, Monitoring of patients, Oncology","Empathy, Organisation, Management of emergencies",42495,Salerano Canavese,Colombiano,False,False,Colombiano
142,Asset manager,Master D.,61,25,"Financial planning, Investments, Management of the portfolio, Economics","Negotiation, Attention to detail, Customer orientation, Strategic Thinking",44998,Boissano,Italiano,False,True,"Italiano, Norvegese"
143,Manager,Master D.,49,15,"Market expertise, Team Management, Negotiation, Strategic planning","Adaptability, Innovation, Empathy, Analytical thinking, Leadership",80005,Santa Marina Salina,Italiano,False,True,"Italiano, Statunitense, Colombiano"
144,Developer,Bachelor D.,46,0,"C, Java, Python, SQL","Creativity, Collaboration, Retail aptitude, Professional Ethic, Flexibility",43006,Montelanico,Italiano,True,True,Italiano
145,Web Developer,PhD,54,6,"SQL, HTML","Flexibility, Ability to manage stress",44998,Fontana Liri,Cubano,True,True,"Cubano, Canadese"
146,X-ray technician,Bachelor D.,23,15,"Use of imaging equipment, Preparation of patients, Radiological safety, X-ray and scan reading","Confidentiality, Speed of learning, Organizational skills",23485,Francavilla al Mare,Inglese,False,True,Inglese
147,Teacher,Degree,44,10,"Gym, Geograpy, Chemistry, Music","Communication, Empathy, Patience",18973,Massa Fermana,Venezuelano,False,False,Venezuelano
148,Pharmacist,Degree,38,18,"Management of the cash, Information on drugs, Preparation of drugs","Precision, Empathy, Attention to the customer",23483,Pareto,Argentino,False,True,Argentino
149,Architectural engineer,Researcher,31,15,"Structural analysis, Solidworks","Management of time, Collaboration",40011,Gorzegno,Italiano,True,True,"Italiano, Norvegese, Argentino"
