Id,Job,Education,SmartWork,Experience_abroad,Nationality,City,Skills,Softkills,Age,Experience,Ideal_Salary,Language
74,Teacher,Degree,False,True,Statunitense,Recetto,"French, Computer science, History, Geograpy","Empathy, Patience, Communication",35,2,17197,Statunitense
75,Financial consultant,Bachelor D.,False,False,Brasiliano,Calci,"Insurance, Personal financial planning, Actions, Commercial Law","Attention to detail, Empathy",29,4,49206,Brasiliano
76,Risk expert,Degree,False,True,Inglese,Motta Camastra,"Management of the crisis, Financial risk","Analytical thinking, Decision making, Management of stress",29,0,36198,"Inglese, Italiano"
77,Data analyst,Degree,True,True,Italiano,Miggiano,"MATLAB, Statistics","Problem solving, Proactivity, Critical analysis, Clear communication, Creativity",39,9,41601,"Italiano, Irlandese, Tedesco"
78,Teacher,Bachelor D.,False,True,Italiano,Miggiano,"French, Italian, Art, Geograpy","Patience, Communication, Empathy",35,3,20953,Italiano
79,Manager,Bachelor D.,False,False,Messicano,Pietra de' Giorgi,"Strategic planning, Market expertise, Team Management","Leadership, Effective communication, Analytical thinking, Adaptability, Innovation",41,9,100399,Messicano
80,Legal consultant,Bachelor D.,False,True,Italiano,Novara,"Tax legislation, Procedural right, Negotiation","Ethics, Management of stress, Customer orientation, Capacity for research",35,2,37460,"Italiano, Cubano"
81,Surgeon,Bachelor D.,False,False,Danese,Trevenzuolo,"Operating block management, General Surgery, Specialized surgical procedures, Surgical Anatomy, Surgical physiology","Teamwork, Management of stress",52,19,101979,"Danese, Egiziano, Norvegese"
82,Doctor,Degree,False,True,Inglese,Montella,"Prevention, Interpretation of the results, Pharmacology","Patience, Empathic communication, Teamwork, Ethics, Attention to the patient",44,15,55792,"Inglese, Italiano"
83,HR Consultant,Degree,False,True,Francese,Francavilla al Mare,"Organisational development, Industrial relations, Labour legislation, Selection and evaluation techniques","Management of the conflict, Management of stress, Negotiation",25,0,36721,"Francese, Italiano, Italiano"
84,X-ray technician,Bachelor D.,False,True,Statunitense,Martinsicuro,"Use of imaging equipment, Radiological safety, Preparation of patients, X-ray and scan reading","Organizational skills, Speed of learning, Precision, Empathy, Attention to detail",38,12,30000,Statunitense
85,Operation manager,Bachelor D.,False,False,Inglese,Lanciano,"Optimization of processes, Logistics, Microsoft Excel, Quality Control","Strategic planning, Management of stress, Management of time, Troubleshooting",41,11,136204,Inglese
86,Teacher,Bachelor D.,False,True,Inglese,Falzes,"Computer science, Gym","Empathy, Communication, Patience",43,7,22891,Inglese
87,System administrator,Researcher,False,False,Italiano,Rivodutri,"Cyber Security, Windows Server, Network, HTTP","Patience, Management of emergencies, Troubleshooting",32,2,37639,"Italiano, Pakistano, Tedesco"
88,Computer security analyst,Bachelor D.,False,False,Francese,Pico,"SELinux, Cyber Security, Keepass, GnuPG, Cryptography","Adaptability, Innovation, Collaboration, Troubleshooting",32,5,84514,"Francese, Brasiliano"
89,Pharmacist,PhD,False,True,Inglese,Cornaredo,"Control of prescriptions, Management of the cash, Pharmacology, Information on drugs, Preparation of drugs","Organizational skills, Attention to the customer, Empathy, Knowledge of regulations",30,0,26122,"Inglese, Francese"
90,Data Scientist,Degree,False,False,Italiano,Curno,"R, Scikit-learn, Machine Learning","effective communication, Teamwork, Analytical thinking, Innovation, Solving the problems",42,2,27655,"Italiano, Argentino, Cubano"
91,Risk expert,Bachelor D.,False,False,Italiano,Zugliano,"Management of losses, Assessment of risk, Financial risk","Decision making, Analytical thinking, Management of stress",29,0,21275,Italiano
92,Computer security analyst,Degree,False,True,Italiano,Landiona,"GnuPG, Analysis of vulnerabilities, Incident Management","Critical thinking, Collaboration",32,2,105934,Italiano
93,Legal consultant,Bachelor D.,False,False,Egiziano,Sovere,"Right to Work, Intellectual property, Civil Law","Management of stress, Capacity for research, Integrity, Customer orientation",47,13,40486,Egiziano
94,Manager,Degree,False,True,Russo,Borgo Velino,"Negotiation, Strategic planning, Market expertise, Team Management","Analytical thinking, Effective communication, Adaptability, Leadership, Empathy",41,2,105367,"Russo, Inglese"
95,Doctor,Degree,False,True,Inglese,Savelli,"Management of patients, Prevention, Pharmacology, Anatomy","Empathic communication, Attention to the patient, Patience, Teamwork, Ethics",40,5,78218,Inglese
96,Architectural engineer,Researcher,True,False,Egiziano,Gottolengo,"Structural analysis, AutoCAD, Solidworks","Management of time, Collaboration",39,3,34686,"Egiziano, Italiano, Italiano"
97,Designer,PhD,False,True,Messicano,Suardi,"Adobe Illustrator, Blender, Sketch, Adobe Photoshop, Prototyping","Creativity, Critical thinking, Adaptability, Empathy, Innovation",34,3,43028,Messicano
98,Marketing manager,Bachelor D.,True,False,Italiano,Parcines,"CMS, Hootsuite, Strategies of marketing, Google Analytics, Management of the brand","Critical thinking, Creativity, Adaptability",54,1,67822,"Italiano, Argentino, Cinese"
99,X-ray technician,Researcher,False,True,Messicano,Pietra Ligure,"Preparation of patients, Radiological safety, Use of imaging equipment","Empathy, Confidentiality",43,5,23089,"Messicano, Italiano"
100,Operation manager,Degree,True,True,Tedesco,Rodengo Saiano,"Six Sigma, Optimization of processes, Management of operations","Management of stress, Management of time, Strategic planning",36,0,91748,Tedesco
101,X-ray technician,Bachelor D.,False,False,Inglese,Arnasco,"Radiological safety, Use of imaging equipment, Preparation of patients, X-ray and scan reading","Ethics, Organizational skills, Confidentiality, Speed of learning",34,6,28140,"Inglese, Italiano, Tunisino"
102,Manager,Bachelor D.,False,False,Brasiliano,San Chirico Nuovo,"Team Management, Strategic planning, Market expertise, Negotiation","Innovation, Effective communication, Analytical thinking, Leadership",36,3,96439,"Brasiliano, Inglese, Inglese"
103,Operation manager,Degree,True,False,Tedesco,Calci,"Lean management , Microsoft Excel, Management of operations, Six Sigma","Troubleshooting, Management of time, Strategic planning, Management of stress",35,4,149504,"Tedesco, Italiano, Italiano"
104,HR Consultant,Bachelor D.,True,False,Tedesco,Garlate,"Selection and evaluation techniques, Analysis of data","Negotiation, Empathy, Management of stress, Coaching",41,10,39909,"Tedesco, Inglese"
105,Risk expert,Bachelor D.,False,True,Tedesco,Grottole,"Management of the crisis, Data analysis","Management of stress, Analytical thinking, Decision making",35,5,39068,"Tedesco, Francese, Statunitense"
106,Marketing manager,Master D.,True,True,Italiano,Francavilla al Mare,"Management of the brand, Hootsuite, Planning of campaigns, Strategies of marketing, Google Analytics","Ability to adapt to new technologies, Leadership, Management of the team, Adaptability, Creativity",33,1,107745,"Italiano, Inglese"
107,Architectural engineer,PhD,False,True,Italiano,Senerchia,"Design, Structural analysis, ANSYS","Creativity, Management of time, Decision-making capacity, Leadership",42,13,54488,"Italiano, Colombiano"
108,Legal consultant,Degree,False,False,Danese,Montella,"Tax legislation, Criminal Law, Civil Law, Procedural right","Negotiation, Integrity, Ethics, Management of stress",44,15,43244,"Danese, Messicano, Italiano"
109,X-ray technician,Bachelor D.,False,True,Inglese,Casarsa della Delizia,"X-ray and scan reading, Preparation of patients, Radiological safety, Use of imaging equipment","Speed of learning, Precision",37,0,29051,"Inglese, Lituano"
110,Developer,Degree,True,False,Italiano,Borgomasino,"PHP, Algorithm, Database, Java","Creativity, Flexibility",28,0,31688,Italiano
111,Marketing manager,Master D.,True,True,Messicano,Lacco Ameno,"Management of the brand, Market research","Critical thinking, Leadership, Adaptability",54,1,119811,"Messicano, Turco, Inglese"
112,Risk expert,Bachelor D.,False,True,Italiano,Montesano Salentino,"Assessment of risk, Data analysis, Financial risk, Management of losses","Analytical thinking, Management of stress, Decision making",28,0,33543,"Italiano, Inglese"
113,Nurse specialist,Degree,False,True,Turco,Ghilarza,"Administration of drugs, Intensive Care Unit","Management of emergencies, Organisation, Empathy",41,0,44492,"Turco, Inglese"
114,Financial consultant,Degree,False,True,Italiano,Zugliano,"Personal financial planning, Commercial Law","Customer orientation, Precision, Persuasive communication, Empathy, Attention to detail",31,4,53630,"Italiano, Portoghese"
115,Nurse specialist,Bachelor D.,False,True,Italiano,Sant'Andrea Frius,"Oncology, Specialized nursing assistance","Organisation, Empathy, Management of emergencies",29,4,46398,"Italiano, Statunitense"
116,Operation manager,Degree,False,True,Italiano,Caltignaga,"Six Sigma, Microsoft Excel, ERP, Lean management ","Management of time, Strategic planning, Management of stress, Troubleshooting",47,17,150000,Italiano
117,Nurse specialist,Master D.,False,True,Brasiliano,Olmo Gentile,"Specialized nursing assistance, Monitoring of patients, Oncology, Administration of drugs","Organisation, Empathy, Management of emergencies",28,2,46100,"Brasiliano, Italiano, Italiano"
118,Data analyst,Degree,True,False,Italiano,Francavilla al Mare,"Root, Python, Database","Critical analysis, Problem solving",42,7,34919,"Italiano, Danese, Argentino"
119,Designer,Bachelor D.,True,False,Italiano,Barrafranca,"UI/UX Design, Adobe Illustrator, Figma, CorelDRAW","Adaptability, Innovation, Creativity, Critical thinking",29,6,47385,Italiano
120,Developer,Bachelor D.,True,False,Egiziano,Castelnuovo Bormida,"C++, PHP, Python, Git, C","Retail aptitude, Creativity, Problem solving, Innovation",31,6,53907,"Egiziano, Canadese, Irlandese"
121,Therapist,Researcher,False,True,Cubano,Voltido,"Psychopharmacology, Ethics, Psychological evaluation, Theories of Behavior","Empathy, Active listening, Ethics",38,0,27785,"Cubano, Finlandese, Italiano"
122,Web Developer,PhD,True,True,Norvegese,Civitanova Marche,"SQL, Python, Internet protocols, PHP","Teamwork, Ability to manage stress, Innovation",27,0,60825,Norvegese
123,X-ray technician,Bachelor D.,False,False,Italiano,Paruzzaro,"Preparation of patients, Use of imaging equipment, X-ray and scan reading, Radiological safety","Precision, Ethics, Empathy, Communication, Organizational skills",39,9,28287,Italiano
124,Data analyst,Degree,True,False,Italiano,Pelugo,"MATLAB, Tableau","Proactivity, Clear communication",27,0,40324,"Italiano, Pakistano, Irlandese"
125,Operation manager,Bachelor D.,True,False,Statunitense,Salerano Canavese,"Six Sigma, Logistics","Management of stress, Management of time, Troubleshooting, Strategic planning",60,14,149709,Statunitense
126,X-ray technician,Researcher,False,True,Irlandese,Parcines,"Use of imaging equipment, X-ray and scan reading, Preparation of patients, Radiological safety","Attention to detail, Empathy, Confidentiality, Precision, Ethics",49,13,30000,Irlandese
127,Nurse,Bachelor D.,False,True,Italiano,Pederobba,"Administration of drugs, Pharmacology, Anatomy, Patient Management, Health care","Communication, Empathy, Organisation, Management of stress",31,6,33363,Italiano
128,Architect,Master D.,True,True,Italiano,Civitanova del Sannio,"BIM, Coordination of the project, EnergyPlus, Asana","Spatial thought, Creativity, Collaboration, Effective communication, Attention to detail",42,0,34075,"Italiano, Francese"
129,Marketing manager,Researcher,False,False,Italiano,Oldenico,"Market research, Google Analytics","Critical thinking, Ability to adapt to new technologies, Adaptability, Management of the team, Leadership",53,8,97828,"Italiano, Argentino, Tunisino"
130,Architect,Master D.,False,True,Tedesco,Candia Lomellina,"Asana, EnergyPlus, Rhinoceros 3D, AutoCAD, Revit","Creativity, Spatial thought, Effective communication, Attention to detail, Collaboration",37,4,57877,"Tedesco, Italiano"
131,Pharmacist,Researcher,False,True,Colombiano,San Massimo,"Dispensing of drugs, Control of prescriptions","Communication, Empathy, Knowledge of regulations, Precision",34,1,27783,Colombiano
132,Architect,Bachelor D.,False,False,Turco,Civitanova Marche,"Rhinoceros 3D, Coordination of the project","Effective communication, Creativity, Collaboration, Spatial thought",36,3,41407,"Turco, Lituano, Egiziano"
133,Lawyer,Bachelor D.,False,False,Italiano,Bianze',"Legal system, Negotiation, Criminal Law, Procedural right","Argumentation, Persuasive communication, Critical thinking, Communication skills, Analytical skills",32,1,28500,Italiano
134,Manager,Degree,False,False,Italiano,Chianocco,"Negotiation, Strategic planning, Team Management","Leadership, Innovation, Adaptability",33,3,96686,"Italiano, Russo, Israeliano"
135,Risk expert,Researcher,False,True,Inglese,Molino dei Torti,"Assessment of risk, Management of losses","Management of stress, Analytical thinking, Decision making",42,2,25420,Inglese
136,HR Consultant,Bachelor D.,True,True,Inglese,Olmo Gentile,"Labour legislation, Analysis of data, Industrial relations, HR Management, Training and development","Ability to listen, Coaching, Management of the conflict",31,4,40239,"Inglese, Italiano, Italiano"
137,Asset manager,Bachelor D.,False,True,Italiano,Vallio Terme,"Investments, Financial planning, Investments, Financial analysis","Strategic Thinking, Negotiation, Customer orientation",51,20,60000,Italiano
138,System administrator,Null,False,True,Italiano,Cassago Brianza,"Windows Server, SMTP","Patience, Troubleshooting, Management of emergencies",27,1,32839,"Italiano, Danese, Cinese"
139,Operation manager,Degree,True,True,Italiano,Chialamberto,"ERP, Microsoft Excel","Management of time, Strategic planning",43,10,130492,"Italiano, Danese, Cubano"
140,Pharmacist,Degree,False,True,Messicano,Azzano San Paolo,"Dispensing of drugs, Preparation of drugs, Management of the cash, Information on drugs","Attention to the customer, Communication, Knowledge of regulations, Precision, Empathy",32,0,26216,Messicano
141,Web Developer,Researcher,False,False,Colombiano,Santo Stefano Roero,"Python, Ruby","Effective communication, Teamwork, Flexibility, Ability to manage stress",45,11,51344,Colombiano
142,Architectural engineer,Master D.,False,False,Italiano,Guidonia Montecelio,"Structural analysis, Design, Simulink, AutoCAD, MATLAB","Communication, Attention to detail, Creativity, Leadership, Management of time",29,3,50671,"Italiano, Messicano"
143,Financial consultant,Bachelor D.,False,False,Cubano,Landiona,"Actions, Investments, Insurance","Attention to detail, Precision, Persuasive communication, Empathy, Customer orientation",33,5,35167,"Cubano, Statunitense"
144,Marketing manager,Researcher,False,True,Inglese,Siliqua,"Hootsuite, Management of the brand, Market research","Adaptability, Management of the team, Creativity, Ability to adapt to new technologies",43,8,117342,Inglese
145,Financial analyst,Bachelor D.,False,True,Danese,Roaschia,"Financial analysis, Financial markets, Risk Management, Economics, Assessment of investments","Attention to detail, Problem solving, Critical analysis, Effective communication",44,5,41228,"Danese, Italiano, Italiano"
146,Web Developer,Bachelor D.,True,True,Tedesco,Bagnolo del Salento,"SQL, Python","Ability to manage stress, Problem solving, Innovation, Teamwork, Effective communication",33,4,54156,"Tedesco, Irlandese, Italiano"
